epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6617,1.35225,2.47763,1.41808,0.01559,1,0.75779,0.52572,1.15028,2.88648,1.22689,0.067569,0.000327586,0.000327586
2,71.645,1.30457,1.73687,1.32086,0.83946,1,0.93944,0.52979,1.21314,1.58783,1.19282,0.0345657,0.000657648,0.000657648
3,105.39,1.30306,1.58663,1.2909,0.98626,0.75,0.89885,0.68103,1.02293,1.56732,1.11554,0.00155912,0.00098441,0.00098441
4,139.418,1.2854,1.51558,1.29642,0.9341,0.75,0.8894,0.63503,1.03285,1.42405,1.1264,0.00098515,0.00098515,0.00098515
5,173.175,1.26855,1.46519,1.26436,0.85953,0.76671,0.95389,0.48507,1.37256,1.88656,1.31909,0.0009802,0.0009802,0.0009802
6,207.59,1.29712,1.43181,1.2706,0.78937,0.94023,0.95475,0.54122,1.42885,1.58051,1.32856,0.00097525,0.00097525,0.00097525
7,242.346,1.22221,1.37695,1.25234,0.99032,1,0.995,0.50335,1.41632,1.07228,1.31042,0.0009703,0.0009703,0.0009703
8,277.43,1.17318,1.3244,1.21964,0.88652,0.97872,0.95389,0.61676,1.31706,1.65657,1.22361,0.00096535,0.00096535,0.00096535
9,311.423,1.16625,1.28316,1.2074,0.97991,0.5,0.80186,0.52924,0.94368,1.59416,1.09309,0.0009604,0.0009604,0.0009604
10,345.796,1.1688,1.30815,1.21943,1,0.86257,0.971,0.66977,1.04404,1.20733,1.09762,0.00095545,0.00095545,0.00095545
11,380.106,1.17297,1.26754,1.21666,0.99197,1,0.995,0.70401,1.09285,1.14129,1.11099,0.0009505,0.0009505,0.0009505
12,414.88,1.14,1.27053,1.19208,0.7699,1,0.895,0.66747,0.81428,1.43985,0.98437,0.00094555,0.00094555,0.00094555
13,448.712,1.13022,1.1684,1.18704,1,0.97863,0.995,0.79326,0.70723,1.66255,1.00128,0.0009406,0.0009406,0.0009406
14,482.893,1.16633,1.21292,1.21279,0.93765,1,0.995,0.78544,0.76989,1.00881,0.93765,0.00093565,0.00093565,0.00093565
15,518.068,1.07386,1.17983,1.16079,0.982,1,0.995,0.71092,0.98534,1.0759,1.04102,0.0009307,0.0009307,0.0009307
16,552.292,1.12403,1.18287,1.18804,0.98663,1,0.995,0.63555,1.26351,1.23893,1.17901,0.00092575,0.00092575,0.00092575
17,586.826,1.11146,1.14411,1.17299,0.78476,1,0.895,0.61173,1.29813,1.64093,1.18066,0.0009208,0.0009208,0.0009208
18,621.251,1.12893,1.12456,1.16965,0.87412,0.86887,0.96722,0.71667,1.01401,1.463,1.02249,0.00091585,0.00091585,0.00091585
