epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2802,1.7129,3.21915,1.9297,0.70364,0.38017,0.42315,0.11815,2.1823,7.70464,2.37916,0.000539324,0.000539324,0.000539324
2,48.7822,1.56334,1.71793,1.76829,0.16064,0.18182,0.08135,0.0326,2.50015,4.4036,3.07046,0.00108957,0.00108957,0.00108957
3,80.9991,1.53701,1.54368,1.73055,0.3488,0.4876,0.26824,0.11963,1.89228,4.08112,2.10069,0.00163432,0.00163432,0.00163432
4,116.115,1.54861,1.40813,1.70233,0.48048,0.46281,0.45387,0.21299,1.88917,4.18612,2.13718,0.00164225,0.00164225,0.00164225
5,143.387,1.44647,1.3015,1.62904,0.51376,0.49587,0.48261,0.20424,1.94844,4.84794,2.33642,0.00163399,0.00163399,0.00163399
6,182.009,1.44759,1.302,1.6375,0.8561,0.76033,0.8611,0.4636,1.65549,1.58746,1.90993,0.00162574,0.00162574,0.00162574
7,221.017,1.43631,1.26581,1.59742,0.86235,0.82645,0.87664,0.52328,1.43221,1.34276,1.58349,0.00161749,0.00161749,0.00161749
8,251.023,1.41928,1.21484,1.59285,0.85576,0.78452,0.8647,0.51269,1.43761,1.09398,1.5879,0.00160924,0.00160924,0.00160924
9,281.669,1.41573,1.08579,1.56798,0.82944,0.86777,0.89932,0.49204,1.50809,1.27689,1.60952,0.00160099,0.00160099,0.00160099
10,316.748,1.39512,1.18442,1.57291,0.66709,0.58678,0.63161,0.31682,1.78237,2.66462,1.90681,0.00159274,0.00159274,0.00159274
11,354.143,1.3421,1.12322,1.52039,0.93544,0.80165,0.90671,0.5251,1.48998,1.09622,1.6725,0.00158448,0.00158448,0.00158448
12,401.714,1.30493,1.05481,1.50162,0.9202,0.8595,0.9313,0.51163,1.38265,0.91074,1.53507,0.00157623,0.00157623,0.00157623
