epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5953,1.46391,2.58835,1.63675,0.32631,0.6197,0.37744,0.1782,1.61385,2.95148,1.96535,0.000552035,0.000552035,0.000552035
2,141.277,1.42341,1.98831,1.53698,0.52758,0.69014,0.55031,0.30651,1.53334,2.31315,1.68395,0.00108577,0.00108577,0.00108577
3,203.435,1.3704,1.76788,1.47994,0.5663,0.73261,0.67705,0.40647,1.2817,1.59935,1.47287,0.0015975,0.0015975,0.0015975
4,263.465,1.37753,1.69347,1.46659,0.43441,0.75068,0.50732,0.24139,1.71321,1.86202,1.87708,0.00156798,0.00156798,0.00156798
5,324.71,1.33722,1.57383,1.42405,0.75423,0.66002,0.76788,0.47842,1.28625,1.30474,1.43796,0.00153497,0.00153497,0.00153497
6,386.592,1.26565,1.44918,1.39003,0.60913,0.82229,0.71657,0.45316,1.21784,1.20328,1.40153,0.00150197,0.00150197,0.00150197
7,453.349,1.25865,1.36333,1.37452,0.71724,0.77101,0.80091,0.52127,1.16775,1.07732,1.36399,0.00146896,0.00146896,0.00146896
8,524.103,1.23649,1.26784,1.35626,0.74823,0.7513,0.82021,0.53859,1.18619,1.08512,1.38566,0.00143595,0.00143595,0.00143595
9,591.922,1.22957,1.26978,1.34493,0.76992,0.7722,0.82483,0.5402,1.18209,0.97324,1.35426,0.00140295,0.00140295,0.00140295
10,667.46,1.19356,1.19819,1.32719,0.82005,0.80121,0.85617,0.56192,1.15309,0.97237,1.36416,0.00136994,0.00136994,0.00136994
11,736.137,1.1686,1.16333,1.29981,0.85305,0.78494,0.87821,0.59414,1.10499,0.8979,1.31485,0.00133693,0.00133693,0.00133693
12,804.252,1.16154,1.12744,1.2976,0.70991,0.80372,0.81653,0.55931,1.07914,0.94517,1.30755,0.00130393,0.00130393,0.00130393
13,871.516,1.11726,1.12478,1.28775,0.8099,0.80802,0.9045,0.63564,1.01951,0.81334,1.26808,0.00127092,0.00127092,0.00127092
14,941.57,1.0907,1.05951,1.25583,0.71722,0.83856,0.8648,0.56403,1.1509,0.91276,1.35463,0.00123791,0.00123791,0.00123791
15,1010.78,1.10531,1.05062,1.26234,0.84215,0.7702,0.87632,0.58926,1.13065,0.87774,1.34011,0.00120491,0.00120491,0.00120491
16,1079.06,1.08143,1.01272,1.24349,0.84075,0.83288,0.88986,0.61358,1.05117,0.81228,1.27332,0.0011719,0.0011719,0.0011719
17,1152.05,1.06551,1.00356,1.24754,0.83607,0.8636,0.91093,0.62809,1.05869,0.70674,1.2633,0.00113889,0.00113889,0.00113889
18,1219.93,1.09819,1.02081,1.2623,0.78172,0.82866,0.89074,0.62618,1.0597,0.79483,1.26977,0.00110589,0.00110589,0.00110589
19,1288.33,1.04277,0.95365,1.22531,0.66252,0.85749,0.79952,0.5673,1.05085,1.16023,1.25906,0.00107288,0.00107288,0.00107288
20,1357.6,1.06789,0.96688,1.23562,0.83488,0.83116,0.9023,0.6489,1.03313,0.72724,1.25352,0.00103987,0.00103987,0.00103987
21,1428.26,1.0224,0.93111,1.2201,0.85314,0.84434,0.91426,0.6309,1.10609,0.7122,1.30447,0.00100687,0.00100687,0.00100687
22,1499.86,1.00842,0.88799,1.20706,0.86325,0.84176,0.9086,0.66031,1.0094,0.72244,1.23558,0.000973861,0.000973861,0.000973861
23,1567.14,1.0515,0.89322,1.2242,0.83306,0.84016,0.92236,0.63316,1.03697,0.72033,1.26128,0.000940855,0.000940855,0.000940855
24,1637.93,1.02104,0.90362,1.21347,0.84078,0.87153,0.9305,0.6795,0.97533,0.6661,1.21062,0.000907848,0.000907848,0.000907848
25,1705.74,1.01902,0.87774,1.21129,0.85255,0.88407,0.937,0.66235,0.9949,0.66676,1.24286,0.000874842,0.000874842,0.000874842
26,1774.93,0.96874,0.83638,1.17446,0.8561,0.84293,0.92956,0.66447,0.99917,0.66834,1.23535,0.000841835,0.000841835,0.000841835
27,1848.44,0.97821,0.79986,1.17138,0.87234,0.90247,0.95018,0.66669,1.0349,0.6209,1.2554,0.000808828,0.000808828,0.000808828
28,1913.22,0.95749,0.79001,1.16536,0.86437,0.92525,0.95175,0.67147,1.00522,0.58529,1.24431,0.000775822,0.000775822,0.000775822
29,1983.31,0.94868,0.80263,1.17245,0.90178,0.87267,0.94389,0.67196,0.98248,0.60252,1.22232,0.000742815,0.000742815,0.000742815
30,2050.67,0.92505,0.77708,1.15723,0.90678,0.91047,0.95343,0.68145,0.99681,0.58192,1.22471,0.000709809,0.000709809,0.000709809
31,2122.78,0.95015,0.78032,1.17496,0.88016,0.88751,0.94219,0.67523,1.00779,0.60956,1.23878,0.000676802,0.000676802,0.000676802
32,2194.47,0.92419,0.76344,1.15531,0.91414,0.86411,0.96063,0.69676,0.9772,0.58373,1.21638,0.000643795,0.000643795,0.000643795
33,2263.88,0.91528,0.75023,1.15105,0.89999,0.89116,0.95969,0.69808,0.96824,0.54742,1.20936,0.000610789,0.000610789,0.000610789
34,2336.79,0.92193,0.72527,1.14657,0.86908,0.88349,0.92918,0.66769,1.02065,0.65831,1.24352,0.000577782,0.000577782,0.000577782
35,2404.65,0.9217,0.72566,1.14432,0.90269,0.9132,0.95943,0.7022,0.98051,0.53165,1.21838,0.000544776,0.000544776,0.000544776
36,2477.5,0.91777,0.72758,1.14951,0.9264,0.91562,0.95578,0.68998,0.98101,0.55603,1.22239,0.000511769,0.000511769,0.000511769
37,2545.36,0.8918,0.69693,1.13136,0.90326,0.92752,0.94971,0.68516,0.97765,0.55986,1.21624,0.000478762,0.000478762,0.000478762
38,2617.94,0.87817,0.69254,1.1255,0.8895,0.88914,0.94214,0.69229,0.97001,0.57644,1.20834,0.000445756,0.000445756,0.000445756
39,2685.41,0.86781,0.69433,1.12175,0.89269,0.93527,0.96447,0.71213,0.94166,0.52737,1.19063,0.000412749,0.000412749,0.000412749
40,2757.59,0.85702,0.67855,1.11714,0.87596,0.93005,0.95138,0.71334,0.91846,0.53267,1.18466,0.000379743,0.000379743,0.000379743
